environment,backend,case,round,frames,frame_ms_median,frame_ms_p95,frame_ms_p99,frame_ms_max,halo_ms_median,halo_ms_p95,halo_ms_p99,halo_ms_max,allocated_bytes_median,allocated_bytes_p95,allocated_bytes_p99,allocated_bytes_max,submissions_median,submissions_p95,submissions_p99,submissions_max,uploaded_bytes_median,uploaded_bytes_p95,uploaded_bytes_p99,uploaded_bytes_max,warm_reentry_peak_ms
pack,compatibility,2,0,617,7.956,9.93812,10.91309,19.6247,4.3373,5.19648,5.80686,14.3331,3016616.0,3016616.0,3016616.0,3016616.0,160.0,160.0,160.0,160.0,1474560.0,1474560.0,1474560.0,1474560.0,19.6247
pack,compatibility,2,1,577,8.3861,10.85586,14.23915,21.536,4.5286,5.74514,6.50164,6.7781,3016616.0,3016616.0,3016616.0,3016616.0,160.0,160.0,160.0,160.0,1474560.0,1474560.0,1474560.0,1474560.0,10.3834
pack,compatibility,2,2,552,8.7459,11.22356,14.18864,34.8532,4.8326,5.96327,7.51035,18.3299,3016616.0,3016616.0,3016616.0,3016616.0,160.0,160.0,160.0,160.0,1474560.0,1474560.0,1474560.0,1474560.0,10.2944
pack,compatibility,3,0,765,5.9506,10.48866,12.21014,23.5772,2.3883,3.1468,3.74621,17.8979,2035784.0,2035784.0,2035784.0,2035784.0,1.0,1.0,1.0,1.0,1179648.0,1179648.0,1179648.0,1179648.0,6.9275
pack,compatibility,3,1,836,5.7309,7.35377,11.13117,21.4741,2.4237,2.88815,3.11569,4.0667,2035784.0,2035784.0,2035784.0,2035784.0,1.0,1.0,1.0,1.0,1179648.0,1179648.0,1179648.0,1179648.0,7.5551
pack,compatibility,3,2,827,5.7571,7.91897,9.77552,23.3801,2.5179,3.22483,4.01696,17.3647,2035784.0,2035784.0,2035784.0,2035784.0,1.0,1.0,1.0,1.0,1179648.0,1179648.0,1179648.0,1179648.0,6.7479
pack,compatibility,4,0,1181,4.0456,5.8509,7.2371,15.4023,0.1194,0.1809,0.28156,0.406,73352.0,73352.0,73352.0,73352.0,1.0,1.0,1.0,1.0,3072.0,3072.0,3072.0,3072.0,5.8611
pack,compatibility,4,1,1200,4.0109,5.82834,6.78949,12.4913,0.11875,0.17183,0.24102,0.6292,73352.0,73352.0,73352.0,73352.0,1.0,1.0,1.0,1.0,3072.0,3072.0,3072.0,3072.0,5.8187
pack,compatibility,4,2,1198,3.95745,5.90844,6.9299,26.6515,0.11395,0.1573,0.23834,0.4135,73352.0,73352.0,73352.0,73352.0,1.0,1.0,1.0,1.0,3072.0,3072.0,3072.0,3072.0,6.7685
pack,compatibility,5,0,1180,4.0119,5.69977,6.94501,19.0984,0.2484,0.33125,0.43146,0.5983,135920.0,135920.0,135920.0,135920.0,1.0,1.0,1.0,1.0,73728.0,73728.0,73728.0,73728.0,19.0984
pack,compatibility,5,1,1187,4.0063,5.78105,8.16229,20.2628,0.2435,0.32093,0.4357,0.5411,135920.0,135920.0,135920.0,135920.0,1.0,1.0,1.0,1.0,73728.0,73728.0,73728.0,73728.0,7.8023
pack,compatibility,5,2,1194,4.0006,5.67868,6.72929,20.3487,0.2374,0.33322,0.46957,0.642,135920.0,135920.0,135920.0,135920.0,1.0,1.0,1.0,1.0,73728.0,73728.0,73728.0,73728.0,5.9785
